:START_ID(Paper),:END_ID(Venue)
f75f16b5cf0fc2e667d79a122190757bfccb0a3d,WorldCIST
b374939320dcba4255a14637d36bbee785a2d860,International Conference on Artificial Intelligence and Soft Computing
d427db1ba2cc92b36d16a5e5114f1027c90fff68,2017 IEEE International Conference on Big Data (Big Data)
7549a6e03afdd42ae94c19235db076319eeb34f8,GRADES@SIGMOD/PODS
ae876b07435880d0359ca68b30af90b2e3193ad4,IEEE International Symposium on High-Performance Parallel Distributed Computing
45063cf2e0116e700da5ca2863c8bb82ad4d64c2,International Database Engineering and Applications Symposium
e89c22555d5e20a14669522838029c6f49893c57,International Workshop on the Semantic Web
f51dfc161c98140d4156e512dd3b4f839cc7f491,SDM
6cc4b0919f14bdcba4d3f1d97b04bd134bfb45c4,BMC Bioinformatics
f7a8573d4daa4083419a864ef7a8bf97bc0754e5,WorldCIST
e7f1640a76bbfdf701e6cd4d81163be2eb97a4de,Vietnam Journal of Computer Science
f3b0ca9d0c420e6c6bc24a5e9dd959e8c899b38e,EDBT/ICDT Workshops
42fe18be6e9ff2c11e5b2347c93e131c9abc7a51,IT Professional
91bd879d3fcbdb851c8442be47e7ee8fa4ef8586,IEEE International Conference on Data Engineering
19c284f50869970a31f45cbec20d2db90aa278e3,International Conference on Automated Planning and Scheduling
6b98410fcea56a1d8368fe31384d2cacdcf78fdc,IEEE International Conference on Fuzzy Systems
cdadc2aa758d3abc1f77add07232f21df9287162,International Conference on Information and Knowledge Management
a31b391917fbfc24675fc13a6724fe61460b425a,The VLDB journal
5685a394b25fcb27b6ad91f7325f2e60a9892e2a,arXiv.org
416292827584552604807411db7262d7c28257e6,International Conference on Data Warehousing and Knowledge Discovery
e02acab3e0c44f425705865869f3e51f7998dd24,Alberto Mendelzon Workshop on Foundations of Data Management
02808823641975868e3212fd7ae859514fdbdf32,ANT/SEIT
c8df841db2bfe68fc7624f004217c0255f385063,"IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing"
0daa156e7b4168df25733ce58680dd15b539fa50,Proceedings of the VLDB Endowment
262fe2a2b5d1c0fa7feb63f3bf0c1fd81f1b7c80,International Conference on Computer Information Systems and Industrial Management Applications
acf5fce7472de410985d223d3ce1271a5014d1e7,Proceedings of the VLDB Endowment
45af864f2f9991eb9f9545fdec45ccf2adb5f0fa,"International Conference on Computing, Communication and Automation"
d6b68954d6acddce319de327af65d164bdfc5543,arXiv.org
71ca3a6c98c8b60117d01f324487ea8bfe34c54b,IEEE Transactions on Knowledge and Data Engineering
342253053f72911edc54df84708f1c1a8db279b6,The VLDB journal
f0c9fabba39fb5d471d6bd37f6d1c68811fef48b,IEEE International Conference on Data Engineering
ae63486b2791b301ea4f31b654579687b2f2f95a,IEEE International Advance Computing Conference
8f6e3b466c4ecc6e0ff779e58cf1b885c7b09f11,Artificial Intelligence Applications and Innovations
2529bb021fda27e1b4012ea62d68c26fd53efcd3,International Conference on Extending Database Technology
ff784e951325b54f911c3c82bde5b3d6810459c3,International Conference on Extending Database Technology
3b3df8387a7924c966c87662d4d2547e5c0fb662,International Conference on Flexible Query Answering Systems
2aac97b85bfb33c0bae35be23b02238c79a937d7,"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management"
217c25a7dc4380f12497edf4d7d013d11195c005,GRADES@SIGMOD/PODS
0e9882f5d9a4c0ee873f7806ffe645b0473377a7,International Conference on Extending Database Technology
a5170eb87547140ee2e9d89e12e49e64b5f1f7d5,Very Large Data Bases Conference
0073395c4fec448b21963cf06ab01b671ccaaac3,International Symposium Graph Drawing and Network Visualization
205d1d5689f7327d909f6a4addb2f0d98ab7d17e,Computer
6300cd54e6ae992d87cb22ce536aa99a5f9e6ab4,PPAA '14
6008ea0ff9406834436c2ab39dca17390f978a23,International Conference on Conceptual Modeling
212d1c7cfad4d8dae39deb669337cb46b0274d78,International Conference on Information Processing and Management of Uncertainty
